clusterIndex,Longitude,Latitude,SOG,COG
0,-14.6124333,8.36711667,0,229.9
0,-14.6128433,8.36800167,0,359.6
0,-14.6128233,8.36796667,0,18.7
0,-14.6128433,8.36795333,0,19.1
0,-14.6124933,8.36707167,0,11.6
0,-14.61283,8.36795667,0,22.9
0,-14.6131667,8.36854667,0,189.2
0,-14.6124433,8.36707333,0,7.6
0,-14.612865,8.36799833,0,2.4
0,-14.61284,8.36796167,0,337.9
0,-14.6128467,8.36799333,0,90.1
0,-14.6124167,8.367105,0,353.3
0,-14.6128367,8.36798333,0,139.3
0,-14.6124867,8.36707833,0,357.6
0,-14.6128167,8.36798333,0,352.5
0,-14.6128567,8.36796833,0,359.4
0,-14.6130783,8.36886667,0,334.4
0,-14.612835,8.368005,0,27.8
0,-14.6128267,8.368005,0,3.8
0,-14.612835,8.36800667,0,350.6
0,-14.612875,8.36799333,0,7.6
0,-14.6128367,8.36798667,0,2.5
0,-14.6124467,8.36710167,0,27.4
0,-14.612825,8.36801167,0,140.9
0,-14.612455,8.36709833,0,60.7
0,-14.612875,8.367995,0,342.9
0,-14.6128417,8.36797833,0,338.4
0,-14.6128433,8.36799667,0,355.8
0,-14.6128267,8.36797,0,33.8
0,-14.612435,8.36711667,0,9.9
0,-14.6128517,8.36798,0,19.1
0,-14.61249,8.36714833,0,233.3
0,-14.6124233,8.36708667,0,139.4
0,-14.612455,8.36707667,0.1,24.8
0,-14.6124467,8.36712333,0,25.7
0,-14.6128717,8.36799167,0,29.3
0,-14.6131667,8.36856833,0,135.1
0,-14.6128367,8.36798333,0,2
0,-14.6127983,8.36797667,0,320.1
0,-14.612825,8.367965,0,14
0,-14.612835,8.36799667,0,9.7
0,-14.6124567,8.36709333,0,284.7
0,-14.61285,8.367975,0,340
0,-14.61286,8.36797333,0,293.7
0,-14.612845,8.36800667,0,358.2
0,-14.6127967,8.36797667,0,13.9
0,-14.6128433,8.36798167,0,22.6
0,-14.6124483,8.36710667,0,39.1
0,-14.61285,8.367975,0,41.9
0,-14.612815,8.36796833,0,356.3
0,-14.6124267,8.36712167,0,321.7
0,-14.612835,8.36798833,0,13.3
0,-14.6130783,8.36883667,0,193
