clusterIndex,Longitude,Latitude,SOG,COG
0,-14.060025,8.26424,15.1,112.9
0,-14.059825,8.27013167,14,115.8
0,-14.0582167,8.26961,14,116.1
0,-14.0645633,8.27167167,13.9,116.4
0,-14.0431383,8.26476833,14,115.3
0,-14.0669317,8.26630333,15.2,115
0,-14.0899733,8.28007667,13.8,116.9
0,-14.0614383,8.27065,14,115.7
0,-14.09165,8.28064167,13.8,117.1
0,-14.08044,8.27568833,13.5,114.4
0,-14.06296,8.27114333,14,116.2
0,-14.0495433,8.26680333,14,115.7
0,-14.09881,8.28307167,13.8,117.1
0,-14.063495,8.27131833,13.9,116.3
0,-14.0651017,8.27184667,13.9,116.5
0,-14.0311067,8.25558333,15.2,116.1
0,-14.052865,8.26787,14,115.5
0,-14.066365,8.27225167,14,116.3
0,-14.0652167,8.26576833,15,114.7
0,-14.03655,8.26268167,13.9,115.3
0,-14.072175,8.27416667,13.9,116
0,-14.0668217,8.27239333,13.9,116.2
0,-14.0689633,8.273105,14,116.6
0,-14.0821383,8.27623833,13.5,115.6
0,-14.08307,8.27654333,13.5,115.9
0,-14.0650133,8.27181667,13.9,116.5
0,-14.1005717,8.283665,13.8,116.9
0,-14.057235,8.26928833,14,116.1
0,-14.07444,8.27392,13.5,114.6
0,-14.03205,8.25736667,14.5,113.8
0,-14.075295,8.27417,13.5,114.5
0,-14.07039,8.27358167,13.9,116.5
0,-14.0274033,8.25981667,13.9,114.6
0,-14.0677167,8.27269,14,116.4
0,-14.0565617,8.26323,15.2,114.1
0,-14.0295917,8.26048833,13.9,114.5
0,-14.06036,8.27030333,14,115.8
0,-14.0625117,8.27099667,14,116.1
0,-14.07307,8.27445833,13.9,115.8
0,-14.09165,8.28064167,13.8,117.1
0,-14.0507067,8.26146,15.1,115
0,-14.06292,8.26507167,15.1,113.6
0,-14.0560817,8.26891333,14,116
0,-14.0415333,8.25872333,15.3,113.5
0,-14.09987,8.28193667,13.5,115.2
0,-14.0473883,8.26611,14,115.7
0,-14.0685633,8.272095,13.2,116.5
0,-14.0969483,8.28244,13.8,116.8
0,-14.06234,8.264905,15.1,113.1
0,-14.0702133,8.27264,13.3,116.2
0,-14.0678317,8.27185167,13.1,116.6
0,-14.0473367,8.260435,15.2,113.9
0,-14.04492,8.25971667,15.2,113.9
0,-14.0795883,8.275425,13.5,114.3
0,-14.0779583,8.27493667,13.5,114.3
0,-14.067985,8.27277833,13.9,116.3
0,-14.0828783,8.27768833,13.9,116.5
0,-14.044225,8.26510833,14,115.1
0,-14.0774517,8.275885,13.9,115.8
0,-14.035415,8.26114333,15.9,117.3
0,-14.06564,8.27202167,13.9,116.5
0,-14.03205,8.25736667,14.5,113.8
0,-14.0420533,8.264425,14,115.3
0,-14.0587517,8.269785,14,116
0,-14.0592867,8.26995833,14,116
0,-14.05195,8.261845,15.1,114.7
0,-14.069385,8.27236667,13.2,116.2
0,-14.078815,8.27519333,13.5,114.2
0,-14.0609,8.27047833,14,115.8
0,-14.030685,8.260825,13.9,114.8
0,-14.09165,8.28064167,13.8,117.1
0,-14.0594483,8.26407333,15,113.4
0,-14.06591,8.27210833,13.9,116.4
0,-14.0484983,8.26078333,15.2,114.4
0,-14.0517867,8.26752333,14,115.6
0,-14.0453133,8.26545,14,115.3
0,-14.0399783,8.26376833,14,115
0,-14.039105,8.25802333,15.3,113
1,-14.0692667,8.32498333,12.2,293
1,-14.0591667,8.32268333,14.6,292
1,-14.0061833,8.3115,14.9,293
1,-14.0728333,8.32856667,14.3,291.6
1,-14.0398333,8.32106667,14.9,294
1,-14.0337167,8.31955,15.2,294
1,-14.0441333,8.32256667,12.9,290
1,-14.0931933,8.33513333,14.6,291.3
1,-14.0557833,8.3256,14.8,293
1,-14.0514,8.32486667,15.2,294
1,-14.0508167,8.32435,12.9,291
1,-14.0625833,8.3276,14.8,293
1,-14.02605,8.31721667,15.2,294
1,-14.0602,8.32753333,14.1,294.5
1,-14.0467833,8.3235,15.2,294
1,-14.0739167,8.32638333,12.2,294
1,-14.0847333,8.32955,14.5,293
1,-14.0226833,8.3162,15.2,294
1,-14.03805,8.32085,15.2,294
1,-14.0295,8.31826667,15.2,294
1,-14.0835433,8.33260833,14.6,290.9
1,-14.0351333,8.31616667,14.8,291
1,-14.0875183,8.33364333,14.6,291.7
1,-14.0979167,8.33765,14.8,292
1,-14.0868567,8.33346833,14.6,291.7
1,-14.0133833,8.3134,15.2,294
1,-14.08325,8.32911667,14.5,293
1,-14.0607833,8.32308333,14.6,291
1,-14.0474833,8.32345,12.9,291
1,-14.0758167,8.32705,14.5,291
1,-14.09185,8.3315,14.5,291
1,-14.0821333,8.3288,14.5,292
1,-14.07788,8.33110667,14.8,292.4
1,-14.0222833,8.31275,14.8,291
1,-14.02735,8.31731667,14.9,293
1,-14.08468,8.33289833,14.6,291
1,-14.0441333,8.32256667,12.9,290
1,-14.06655,8.3246,14.8,291
1,-14.0504667,8.32031667,14.7,291
1,-14.0232333,8.31696667,12.9,293
1,-14.00275,8.31051667,15,293
1,-14.0443833,8.31878333,14.7,292
1,-14.0892183,8.334095,14.5,291.5
1,-14.0458167,8.323,12.9,291
1,-14.0452333,8.32318333,14.1,297.5
1,-14.0409167,8.3178,14.7,292
1,-14.0673333,8.32708333,14.3,292.4
1,-14.0358667,8.31638333,14.8,291
1,-14.0682,8.32501667,14.6,292
1,-14.06395,8.32396667,14.6,291
1,-14.0877167,8.33038333,14.5,292
1,-14.0422,8.32206667,12.9,290
1,-14.0522,8.32523333,13.9,295.2
1,-14.0533833,8.32556667,13.8,294.4
1,-14.0411167,8.32178333,15.2,294
1,-14.0363167,8.32061667,12.9,290
1,-14.06945,8.33025,14.3,295.5
1,-13.9951167,8.30828333,15,292
1,-14.0493333,8.32003333,14.7,291
